file: 1.jpg	Packet loss: 0%	 time delay: 0 ms		file: 1.jpg	Packet loss: 0%	 time delay: 0 ms		file: 1.jpg	Packet loss: 0%	 time delay: 0 ms			
2053710 	18090 	908400 		5201567 	3337 	12546600 	#DIV/0!	6537807 	3796 	14367800 			
file: 1.jpg	Packet loss: 15%	 time delay: 0 ms		file: 1.jpg	Packet loss: 15%	 time delay: 0 ms		file: 1.jpg	Packet loss: 15%	 time delay: 0 ms			
2225518 	31003 	574000 		4308460 	2599 	13261000 		4831094 	2410 	16036000 			
2229804 	32288 	552000 		4438518 	2959 	12000000 		5731548 	3239 	14156000 			
2225518 	31631 	562000 		5272742 	3308 	12751000 		7147253 	4145 	13794000 			
2237785 	33011 	542000 		5893520 	3772 	12499000 		7588906 	4850 	12517000 			
2225518 	32249 	552000 		7014798 	4453 	12602000 		8256268 	5054 	13068000 			
2228829 	32036 	556400 		5385608 	3418 	12622600 	#DIV/0!	6711014 	3940 	13914200 			
file: 1.jpg	Packet loss: 20%	 time delay: 0 ms		file: 1.jpg	Packet loss: 20%	 time delay: 0 ms		file: 1.jpg	Packet loss: 20%	 time delay: 0 ms			
2315708 	38920 	475000 		4242230 	2499 	13580000 		4683878 	2513 	14910000 			
2323694 	39427 	471000 		4627428 	3017 	12270000 		6288493 	3490 	14414000 			
2323694 	39698 	468000 		5415068 	3557 	12178000 		7007420 	4169 	13446000 			
2323689 	39970 	465000 		6239421 	4027 	12395000 		8501628 	5304 	12822000 			
2315708 	40340 	459000 		7424527 	4597 	12920000 		8648844 	5156 	13419000 			
2320499 	39671 	467600 		5589735 	3539 	12668600 	#DIV/0!	7026053 	4126 	13802200 			
file: 1.jpg	Packet loss: 0%	 time delay: 5 ms		file: 1.jpg	Packet loss: 0%	 time delay: 5 ms		file: 1.jpg	Packet loss: 0%	 time delay: 5 ms			
1857358 	4610 	3223000 		15975070 	11229 	11381000 		19260664 	13563 	11360000 			
1857358 	4847 	3065000 		41985890 	30093 	11161000 		38482122 	28073 	10966000 			
1857358 	4945 	3004000 		43941301 	30662 	11464000 		87041273 	58815 	11839000 			
1857358 	5125 	2899000 		29035681 	22148 	10487000 		47472169 	35038 	10839000 			
1857358 	5705 	2604000 		88738889 	55619 	12763000 		48097665 	40471 	9507000 			
1857358 	5046 	2959000 		43935366 	29950 	11451200 	#DIV/0!	48070779 	35192 	10902200 			
file: 1.jpg	Packet loss: 5%	 time delay: 5 ms		file: 1.jpg	Packet loss: 5%	 time delay: 5 ms		file: 1.jpg	Packet loss: 5%	 time delay: 5 ms			
1947548 	12632 	1233000 		20499646 	15977 	10264000 		34614966 	25098 	11033000 			
1955534 	14315 	1092000 		117271906 	80816 	11608000 		79474314 	59438 	10696000 			
1955534 	15140 	1033000 		48791960 	35316 	11052000 		237452262 	154684 	12280000 			
1955534 	15384 	1016000 		90885521 	65037 	11179000 		115328272 	82551 	11176000 			
1955534 	15494 	1009000 		226231154 	149072 	12140000 		43673954 	33100 	10555000 			
1953937 	14593 	1076600 		100736037 	69244 	11248600 	#DIV/0!	102108754 	70974 	11148000 			
file: 1.jpg	Packet loss: 10%	 time delay: 5 ms		file: 1.jpg	Packet loss: 10%	 time delay: 5 ms		file: 1.jpg	Packet loss: 10%	 time delay: 5 ms			
2053710 	20681 	794000 		76131586 	54246 	11227000 		40395596 	29726 	10871000 			
2053710 	22570 	727000 		113944643 	90224 	10103000 		129743521 	96801 	10722000 			
2053710 	23033 	713000 		47310101 	34584 	10943000 		304587204 	211948 	11496000 			
2053710 	23380 	702000 		138652385 	93421 	11873000 		81282772 	59452 	10937000 			
2053710 	23290 	705000 		119013967 	80943 	11762000 		87190517 	59806 	11663000 			
2053710 	22591 	728200 		99010536 	70684 	11181600 	#DIV/0!	128639922 	91547 	11137800 			
file: 1.jpg	Packet loss: 15%	 time delay: 5 ms		file: 1.jpg	Packet loss: 15%	 time delay: 5 ms		file: 1.jpg	Packet loss: 15%	 time delay: 5 ms			
2225518 	34959 	509000 		24898624 	19065 	10447000 		63177272 	42338 	11937000 			
2229804 	37130 	480000 		83421687 	60316 	11064000 		74024399 	55092 	10749000 			
2225518 	37051 	480000 		129294399 	88122 	11737000 		141682677 	95905 	11818000 			
2237785 	38377 	466000 		71706258 	52616 	10902000 		230593581 	150356 	12269000 			
2225518 	37381 	476000 		153157712 	103214 	11871000 		131629515 	96244 	10941000 			
2228829 	36980 	482200 		92495736 	64667 	11204200 	#DIV/0!	128221489 	87987 	11542800 			
file: 1.jpg	Packet loss: 20%	 time delay: 5 ms		file: 1.jpg	Packet loss: 20%	 time delay: 5 ms		file: 1.jpg	Packet loss: 20%	 time delay: 5 ms			
2315708 	43155 	429000 		31935480 	23716 	10772000 		69804130 	53120 	10512000 			
2323694 	44290 	419000 		78104930 	54675 	11428000 		136282618 	97647 	11165000 			
2323694 	45151 	411000 		208783914 	139402 	11981000 		110559105 	84097 	10517000 			
2323689 	45399 	409000 		123194715 	89883 	10964000 		137128852 	95140 	11530000 			
2315708 	45540 	406000 		280963845 	180987 	12419000 		130177781 	86669 	12016000 			
2320499 	44707 	414800 		144596577 	97733 	11512800 	#DIV/0!	116790497 	83335 	11148000 			
file: 1.jpg	Packet loss: 0%	 time delay: 10 ms		file: 1.jpg	Packet loss: 0%	 time delay: 10 ms		file: 1.jpg	Packet loss: 0%	 time delay: 10 ms			
1857358 	4658 	3189000 		39564113 	28140 	11247000 		39011972 	28745 	10857000 			
1857358 	5251 	2829000 		68786312 	47952 	11475000 		169467386 	115860 	11701000 			
